名称,类型,攻击力,生产力,耐久度,重量,等级,增加矿工上限,价格,贴图名称,特效名称,描述,概率
精良色欲,WeakFloor,50,0,3100,100,2,14,200,炮台-1,1,魅惑敌方！使多名敌人造成的伤害降低,0
传说色欲,WeakFloor,150,0,7500,240,4,33,890,炮台-1,2,魅惑敌方！使多名敌人造成的伤害降低,0
精良愤怒,RageFloor,200,0,2800,70,2,14,200,炮台-10,1,生命越低伤害越高，最多翻倍！,0
传说愤怒,RageFloor,480,0,7000,170,4,33,890,炮台-10,2,生命越低伤害越高，最多翻倍！,0
精良贞洁,CoincidenceFloor,200,0,3100,75,2,14,200,炮台-11,1,有概率伤害翻倍！,25
传说贞洁,CoincidenceFloor,480,0,7500,180,4,33,890,炮台-11,2,有更高概率伤害翻倍！,50
普通懒惰,ResistFloor,0,1,1600,40,1,9,50,炮台-12,0,提供矿工上限，并且反弹伤害！,0
精良懒惰,ResistFloor,0,2,3100,100,3,14,205,炮台-12,1,提供更多矿工上限！也会反弹伤害！,0
传说懒惰,ResistFloor,0,6,7500,240,5,22,910,炮台-12,2,会给你提供非常多矿工上限！还会反弹伤害！,0
精良原罪,HeavyGunFloor,70,4,4000,100,3,9,205,炮台-13,1,对更多敌方层造成伤害！,0
传说原罪,HeavyGunFloor,170,9,9600,240,5,14,910,炮台-13,2,对更多敌方层造成更多伤害！,0
普通勤奋,MineFloor,0,3,1600,30,1,5,50,炮台-15,0,会为你带来矿工！,0
精良勤奋,MineFloor,0,6,4000,75,3,8,205,炮台-15,1,会为你带来更多矿工！,0
传说勤奋,MineFloor,0,12,10000,180,5,13,910,炮台-15,2,会为你带来非常多矿工！,0
精良节制,HealFloor,125,0,3100,75,2,14,200,炮台-17,1,对上下的塔进行恢复！,0
传说节制,HealFloor,300,0,7500,180,4,33,890,炮台-17,2,对上下的塔进行更多恢复！,0
精良贪婪,AimWeakFloor,250,0,3100,75,2,14,200,炮台-2,1,对血量最低的敌方层造成伤害！,0
传说贪婪,AimWeakFloor,600,0,7500,180,4,33,890,炮台-2,2,对血量最低的敌方层造成更多伤害！,0
精良慷慨,AimContainFloor,250,0,3100,75,2,14,200,炮台-3,1,对矿工上限最高的敌方层造成伤害！,0
传说慷慨,AimContainFloor,600,0,7500,180,4,33,890,炮台-3,2,对矿工上限最高的敌方层造成更多伤害！,0
精良暴食,DieFloor,0,0,3100,75,2,14,200,炮台-4,1,死亡时恢复队友生命值！,0
传说暴食,DieFloor,0,0,7500,180,4,33,890,炮台-4,2,死亡恢复队友更多生命值！,0
普通美德,GunFloor,100,2,1200,30,1,6,50,炮台-5,0,会对敌方层造成伤害！,0
精良美德,GunFloor,250,4,3100,75,3,9,205,炮台-5,1,会对敌方层造成更多伤害！,0
传说美德,GunFloor,600,9,7500,180,5,14,910,炮台-5,2,会对敌方层造成非常多伤害！,0
精良谦逊,LockFloor,70,0,4000,100,2,14,200,炮台-6,1,禁止多名目标恢复生命！,0
传说谦逊,LockFloor,170,0,9600,240,4,33,890,炮台-6,2,禁止多名目标恢复生命！,0
精良温和,MaxHealthFloor,250,0,3100,75,2,14,200,炮台-7,1,造成伤害?削减生命上限！,0
传说温和,MaxHealthFloor,600,0,7500,180,4,33,890,炮台-7,2,造成更多伤害?削减更多生命上限！,0
精良嫉妒,AttackAboveFloor,50,0,2700,50,2,14,200,炮台-8,1,对比它高的所有层造成伤害！,0
传说嫉妒,AttackAboveFloor,150,0,6500,150,4,33,890,炮台-8,2,对比它高的所有层造成更多伤害！,0
精良宽容,MineFloor,0,3,4000,80,3,19,205,炮台-9,1,更大的矿工上限！,0
传说宽容,MineFloor,0,6,10000,200,5,41,910,炮台-9,2,比更大还大的矿工上限！,0
精良傲慢,MineFloor,0,0,5000,100,3,14,205,炮台-14,1,无法行动，但是特别扎实！,0
传说傲慢,MineFloor,0,0,11000,250,5,33,910,炮台-14,2,无法行动，而且更加扎实！,0
